episode,reward
1,-20.0
2,-20.0
3,-20.01
4,-20.019900000000003
5,-20.009701000000003
6,-20.009603990000002
7,-20.019507950100003
8,-20.029312870599004
9,-20.039019741893014
10,-20.048629544474085
11,-20.058143249029346
12,-20.067561816539055
13,-20.076886198373664
14,-20.08611733638993
15,-20.09525616302603
16,-20.10430360139577
17,-20.113260565381815
18,-20.122127959727997
19,-20.130906680130717
20,-20.13959761332941
21,-20.148201637196117
22,-20.156719620824155
23,-20.165152424615915
24,-20.173500900369756
25,-20.18176589136606
26,-20.189948232452398
27,-20.198048750127874
28,-20.206068262626598
29,-20.21400758000033
30,-20.22186750420033
31,-20.229648829158325
32,-20.237352340866742
33,-20.244978817458076
34,-20.252529029283497
35,-20.26000373899066
36,-20.267403701600756
37,-20.27472966458475
38,-20.281982367938905
39,-20.28916254425952
40,-20.296270918816923
41,-20.303308209628753
42,-20.310275127532467
43,-20.317172376257144
44,-20.324000652494572
45,-20.330760645969626
46,-20.33745303950993
47,-20.344078509114834
48,-20.350637724023684
49,-20.357131346783447
50,-20.363560033315615
51,-20.369924432982458
52,-20.376225188652633
53,-20.382462936766107
54,-20.388638307398445
55,-20.39475192432446
56,-20.400804405081217
57,-20.406796361030406
58,-20.412728397420103
59,-20.418601113445902
60,-20.424415102311443
61,-20.43017095128833
62,-20.435869241775446
63,-20.44151054935769
64,-20.447095443864114
65,-20.452624489425475
66,-20.45809824453122
67,-20.46351726208591
68,-20.468882089465055
69,-20.474193268570406
70,-20.479451335884704
71,-20.484656822525857
72,-20.489810254300597
73,-20.494912151757593
74,-20.499963030240018
75,-20.50496339993762
76,-20.509913765938244
77,-20.514814628278863
78,-20.519666481996076
79,-20.524469817176115
80,-20.529225119004355
81,-20.53393286781431
82,-20.53859353913617
83,-20.543207603744808
84,-20.547775527707362
85,-20.55229777243029
86,-20.556774794705987
87,-20.561207046758927
88,-20.565594976291337
89,-20.569939026528424
90,-20.57423963626314
91,-20.57849723990051
92,-20.582712267501506
93,-20.586885144826493
94,-20.591016293378228
95,-20.595106130444446
96,-20.599155069140004
97,-20.603163518448603
98,-20.607131883264117
99,-20.611060564431476
100,-20.61494995878716
101,-20.61880045919929
102,-20.622612454607296
103,-20.626386330061223
104,-20.63012246676061
105,-20.633821242093006
106,-20.637483029672076
107,-20.641108199375356
108,-20.644697117381604
109,-20.64825014620779
110,-20.651767644745714
111,-20.655249968298257
112,-20.658697468615276
113,-20.662110493929124
114,-20.665489388989833
115,-20.668834495099937
116,-20.672146150148937
117,-20.675424688647446
118,-20.67867044176097
119,-20.681883737343362
120,-20.68506489996993
121,-20.688214250970233
122,-20.691332108460532
